#    L    TT             EE             TE             PP             TP          
   146   0.424863E+04   0.110907E+01  -0.458367E+02   0.353880E+07   0.386904E+04
   147   0.428220E+04   0.110586E+01  -0.459655E+02   0.351864E+07   0.383518E+04
   148   0.431561E+04   0.110218E+01  -0.460715E+02   0.349863E+07   0.380173E+04
   149   0.434885E+04   0.109804E+01  -0.461543E+02   0.347878E+07   0.376865E+04
   150   0.438190E+04   0.109345E+01  -0.462135E+02   0.345909E+07   0.373592E+04
   151   0.441474E+04   0.108842E+01  -0.462488E+02   0.343955E+07   0.370352E+04
   152   0.444738E+04   0.108294E+01  -0.462598E+02   0.342017E+07   0.367144E+04
   153   0.447981E+04   0.107705E+01  -0.462464E+02   0.340094E+07   0.363969E+04
   154   0.451201E+04   0.107075E+01  -0.462083E+02   0.338186E+07   0.360826E+04
   155   0.454399E+04   0.106404E+01  -0.461452E+02   0.336293E+07   0.357715E+04
   156   0.457576E+04   0.105694E+01  -0.460569E+02   0.334416E+07   0.354636E+04
   157   0.460728E+04   0.104946E+01  -0.459431E+02   0.332553E+07   0.351589E+04
   158   0.463856E+04   0.104163E+01  -0.458035E+02   0.330705E+07   0.348573E+04
   159   0.466960E+04   0.103343E+01  -0.456380E+02   0.328872E+07   0.345588E+04
   160   0.470038E+04   0.102491E+01  -0.454464E+02   0.327053E+07   0.342635E+04
   161   0.473088E+04   0.101606E+01  -0.452284E+02   0.325249E+07   0.339712E+04
   162   0.476109E+04   0.100691E+01  -0.449839E+02   0.323460E+07   0.336820E+04
   163   0.479100E+04   0.997491E+00  -0.447126E+02   0.321685E+07   0.333959E+04
   164   0.482060E+04   0.987793E+00  -0.444143E+02   0.319924E+07   0.331129E+04
   165   0.484988E+04   0.977843E+00  -0.440889E+02   0.318177E+07   0.328328E+04
   166   0.487882E+04   0.967663E+00  -0.437363E+02   0.316445E+07   0.325558E+04
   167   0.490742E+04   0.957274E+00  -0.433562E+02   0.314726E+07   0.322818E+04
   168   0.493567E+04   0.946701E+00  -0.429488E+02   0.313022E+07   0.320107E+04
   169   0.496356E+04   0.935963E+00  -0.425139E+02   0.311331E+07   0.317426E+04
   170   0.499108E+04   0.925078E+00  -0.420514E+02   0.309654E+07   0.314775E+04
   171   0.501822E+04   0.914073E+00  -0.415613E+02   0.307991E+07   0.312153E+04
   172   0.504499E+04   0.902971E+00  -0.410435E+02   0.306341E+07   0.309560E+04
   173   0.507136E+04   0.891795E+00  -0.404980E+02   0.304705E+07   0.306996E+04
   174   0.509733E+04   0.880567E+00  -0.399248E+02   0.303082E+07   0.304461E+04
   175   0.512289E+04   0.869324E+00  -0.393239E+02   0.301473E+07   0.301954E+04
   176   0.514803E+04   0.858080E+00  -0.386954E+02   0.299877E+07   0.299476E+04
   177   0.517274E+04   0.846872E+00  -0.380391E+02   0.298293E+07   0.297025E+04
   178   0.519701E+04   0.835724E+00  -0.373553E+02   0.296723E+07   0.294602E+04
   179   0.522083E+04   0.824657E+00  -0.366439E+02   0.295166E+07   0.292205E+04
   180   0.524421E+04   0.813709E+00  -0.359050E+02   0.293621E+07   0.289835E+04
   181   0.526712E+04   0.802909E+00  -0.351389E+02   0.292089E+07   0.287490E+04
   182   0.528957E+04   0.792287E+00  -0.343455E+02   0.290569E+07   0.285171E+04
   183   0.531154E+04   0.781865E+00  -0.335250E+02   0.289062E+07   0.282875E+04
   184   0.533304E+04   0.771681E+00  -0.326778E+02   0.287567E+07   0.280604E+04
   185   0.535404E+04   0.761771E+00  -0.318036E+02   0.286084E+07   0.278356E+04
   186   0.537455E+04   0.752158E+00  -0.309028E+02   0.284613E+07   0.276130E+04
   187   0.539456E+04   0.742873E+00  -0.299756E+02   0.283154E+07   0.273927E+04
   188   0.541406E+04   0.733955E+00  -0.290222E+02   0.281707E+07   0.271745E+04
   189   0.543304E+04   0.725436E+00  -0.280429E+02   0.280271E+07   0.269584E+04
   190   0.545150E+04   0.717350E+00  -0.270378E+02   0.278847E+07   0.267444E+04
   191   0.546943E+04   0.709729E+00  -0.260073E+02   0.277434E+07   0.265323E+04
   192   0.548682E+04   0.702607E+00  -0.249514E+02   0.276033E+07   0.263222E+04
   193   0.550366E+04   0.696019E+00  -0.238706E+02   0.274643E+07   0.261139E+04
   194   0.551996E+04   0.690000E+00  -0.227651E+02   0.273263E+07   0.259075E+04
   195   0.553570E+04   0.684585E+00  -0.216353E+02   0.271895E+07   0.257028E+04
   196   0.555089E+04   0.679811E+00  -0.204815E+02   0.270537E+07   0.254998E+04
   197   0.556552E+04   0.675714E+00  -0.193042E+02   0.269190E+07   0.252984E+04
   198   0.557960E+04   0.672331E+00  -0.181036E+02   0.267854E+07   0.250987E+04
   199   0.559310E+04   0.669696E+00  -0.168800E+02   0.266528E+07   0.249004E+04
   200   0.560603E+04   0.667846E+00  -0.156341E+02   0.265212E+07   0.247036E+04
   201   0.561840E+04   0.666818E+00  -0.143659E+02   0.263907E+07   0.245083E+04
   202   0.563017E+04   0.666648E+00  -0.130762E+02   0.262612E+07   0.243143E+04
   203   0.564134E+04   0.667374E+00  -0.117651E+02   0.261326E+07   0.241217E+04
   204   0.565191E+04   0.669031E+00  -0.104331E+02   0.260051E+07   0.239306E+04
   205   0.566186E+04   0.671657E+00  -0.908072E+01   0.258785E+07   0.237408E+04
   206   0.567118E+04   0.675287E+00  -0.770829E+01   0.257529E+07   0.235523E+04
   207   0.567986E+04   0.679960E+00  -0.631621E+01   0.256283E+07   0.233653E+04
   208   0.568790E+04   0.685711E+00  -0.490506E+01   0.255047E+07   0.231796E+04
   209   0.569533E+04   0.692576E+00  -0.347538E+01   0.253820E+07   0.229952E+04
   210   0.570212E+04   0.700594E+00  -0.202774E+01   0.252602E+07   0.228121E+04
   211   0.570830E+04   0.709801E+00  -0.562675E+00   0.251394E+07   0.226304E+04
   212   0.571387E+04   0.720232E+00   0.919250E+00   0.250195E+07   0.224500E+04
   213   0.571883E+04   0.731926E+00   0.241748E+01   0.249006E+07   0.222710E+04
   214   0.572319E+04   0.744918E+00   0.393146E+01   0.247825E+07   0.220932E+04
   215   0.572695E+04   0.759240E+00   0.546061E+01   0.246654E+07   0.219167E+04
   216   0.573010E+04   0.774936E+00   0.700432E+01   0.245491E+07   0.217415E+04
   217   0.573263E+04   0.792036E+00   0.856199E+01   0.244338E+07   0.215676E+04
   218   0.573454E+04   0.810570E+00   0.101331E+02   0.243193E+07   0.213949E+04
   219   0.573584E+04   0.830581E+00   0.117170E+02   0.242057E+07   0.212235E+04
   220   0.573650E+04   0.852101E+00   0.133131E+02   0.240929E+07   0.210534E+04
   221   0.573654E+04   0.875159E+00   0.149207E+02   0.239810E+07   0.208845E+04
   222   0.573595E+04   0.899799E+00   0.165394E+02   0.238700E+07   0.207168E+04
   223   0.573472E+04   0.926043E+00   0.181684E+02   0.237598E+07   0.205504E+04
   224   0.573287E+04   0.953929E+00   0.198070E+02   0.236504E+07   0.203852E+04
   225   0.573040E+04   0.983479E+00   0.214546E+02   0.235418E+07   0.202212E+04
   226   0.572730E+04   0.101474E+01   0.231105E+02   0.234341E+07   0.200584E+04
   227   0.572357E+04   0.104773E+01   0.247741E+02   0.233272E+07   0.198968E+04
   228   0.571922E+04   0.108249E+01   0.264447E+02   0.232210E+07   0.197364E+04
   229   0.571426E+04   0.111905E+01   0.281215E+02   0.231157E+07   0.195771E+04
   230   0.570867E+04   0.115743E+01   0.298040E+02   0.230111E+07   0.194191E+04
   231   0.570247E+04   0.119765E+01   0.314914E+02   0.229073E+07   0.192622E+04
   232   0.569565E+04   0.123976E+01   0.331830E+02   0.228043E+07   0.191064E+04
   233   0.568823E+04   0.128377E+01   0.348782E+02   0.227020E+07   0.189518E+04
   234   0.568018E+04   0.132971E+01   0.365760E+02   0.226005E+07   0.187983E+04
   235   0.567153E+04   0.137762E+01   0.382760E+02   0.224998E+07   0.186460E+04
   236   0.566227E+04   0.142751E+01   0.399773E+02   0.223997E+07   0.184947E+04
   237   0.565242E+04   0.147941E+01   0.416793E+02   0.223004E+07   0.183446E+04
   238   0.564196E+04   0.153333E+01   0.433811E+02   0.222018E+07   0.181956E+04
   239   0.563090E+04   0.158929E+01   0.450821E+02   0.221039E+07   0.180477E+04
   240   0.561926E+04   0.164734E+01   0.467815E+02   0.220067E+07   0.179008E+04
   241   0.560702E+04   0.170748E+01   0.484785E+02   0.219102E+07   0.177551E+04
   242   0.559419E+04   0.176973E+01   0.501725E+02   0.218144E+07   0.176104E+04
   243   0.558079E+04   0.183411E+01   0.518626E+02   0.217193E+07   0.174667E+04
   244   0.556681E+04   0.190063E+01   0.535482E+02   0.216248E+07   0.173242E+04
   245   0.555227E+04   0.196933E+01   0.552286E+02   0.215310E+07   0.171826E+04
   246   0.553716E+04   0.204020E+01   0.569030E+02   0.214379E+07   0.170421E+04
   247   0.552149E+04   0.211326E+01   0.585707E+02   0.213453E+07   0.169027E+04
   248   0.550528E+04   0.218854E+01   0.602310E+02   0.212535E+07   0.167642E+04
   249   0.548852E+04   0.226603E+01   0.618831E+02   0.211622E+07   0.166268E+04
   250   0.547122E+04   0.234576E+01   0.635263E+02   0.210716E+07   0.164903E+04
   251   0.545338E+04   0.242772E+01   0.651597E+02   0.209816E+07   0.163549E+04
   252   0.543500E+04   0.251194E+01   0.667827E+02   0.208922E+07   0.162204E+04
   253   0.541609E+04   0.259840E+01   0.683943E+02   0.208034E+07   0.160869E+04
   254   0.539666E+04   0.268713E+01   0.699938E+02   0.207152E+07   0.159544E+04
   255   0.537669E+04   0.277812E+01   0.715804E+02   0.206275E+07   0.158229E+04
   256   0.535620E+04   0.287138E+01   0.731534E+02   0.205405E+07   0.156923E+04
   257   0.533520E+04   0.296691E+01   0.747121E+02   0.204541E+07   0.155626E+04
   258   0.531369E+04   0.306471E+01   0.762555E+02   0.203682E+07   0.154339E+04
   259   0.529170E+04   0.316479E+01   0.777840E+02   0.202829E+07   0.153061E+04
   260   0.526924E+04   0.326714E+01   0.792955E+02   0.201982E+07   0.151793E+04
   261   0.524631E+04   0.337177E+01   0.807906E+02   0.201140E+07   0.150533E+04
   262   0.522293E+04   0.347867E+01   0.822679E+02   0.200304E+07   0.149283E+04
   263   0.519912E+04   0.358784E+01   0.837274E+02   0.199474E+07   0.148042E+04
   264   0.517487E+04   0.369928E+01   0.851676E+02   0.198649E+07   0.146809E+04
   265   0.515019E+04   0.381297E+01   0.865893E+02   0.197829E+07   0.145585E+04
   266   0.512509E+04   0.392890E+01   0.879901E+02   0.197015E+07   0.144371E+04
   267   0.509958E+04   0.404706E+01   0.893694E+02   0.196207E+07   0.143164E+04
   268   0.507366E+04   0.416744E+01   0.907279E+02   0.195403E+07   0.141967E+04
   269   0.504733E+04   0.429004E+01   0.920634E+02   0.194605E+07   0.140777E+04
   270   0.502060E+04   0.441482E+01   0.933766E+02   0.193812E+07   0.139597E+04
   271   0.499349E+04   0.454180E+01   0.946654E+02   0.193025E+07   0.138424E+04
   272   0.496599E+04   0.467094E+01   0.959303E+02   0.192242E+07   0.137260E+04
   273   0.493814E+04   0.480221E+01   0.971701E+02   0.191465E+07   0.136104E+04
   274   0.490992E+04   0.493561E+01   0.983853E+02   0.190692E+07   0.134956E+04
   275   0.488135E+04   0.507112E+01   0.995738E+02   0.189925E+07   0.133817E+04
   276   0.485246E+04   0.520871E+01   0.100736E+03   0.189162E+07   0.132685E+04
   277   0.482324E+04   0.534837E+01   0.101871E+03   0.188405E+07   0.131561E+04
   278   0.479370E+04   0.549008E+01   0.102978E+03   0.187652E+07   0.130444E+04
   279   0.476385E+04   0.563379E+01   0.104058E+03   0.186904E+07   0.129336E+04
   280   0.473371E+04   0.577947E+01   0.105108E+03   0.186161E+07   0.128235E+04
   281   0.470329E+04   0.592712E+01   0.106129E+03   0.185422E+07   0.127142E+04
   282   0.467259E+04   0.607668E+01   0.107121E+03   0.184689E+07   0.126056E+04
   283   0.464163E+04   0.622814E+01   0.108082E+03   0.183960E+07   0.124977E+04
   284   0.461041E+04   0.638146E+01   0.109013E+03   0.183235E+07   0.123906E+04
   285   0.457894E+04   0.653661E+01   0.109912E+03   0.182515E+07   0.122842E+04
   286   0.454724E+04   0.669356E+01   0.110779E+03   0.181799E+07   0.121785E+04
   287   0.451532E+04   0.685225E+01   0.111615E+03   0.181088E+07   0.120736E+04
   288   0.448318E+04   0.701267E+01   0.112418E+03   0.180382E+07   0.119693E+04
   289   0.445084E+04   0.717477E+01   0.113188E+03   0.179679E+07   0.118657E+04
   290   0.441831E+04   0.733850E+01   0.113925E+03   0.178981E+07   0.117628E+04
   291   0.438561E+04   0.750386E+01   0.114628E+03   0.178287E+07   0.116606E+04
   292   0.435272E+04   0.767071E+01   0.115296E+03   0.177598E+07   0.115590E+04
   293   0.431968E+04   0.783911E+01   0.115931E+03   0.176912E+07   0.114581E+04
   294   0.428648E+04   0.800900E+01   0.116530E+03   0.176231E+07   0.113579E+04
   295   0.425314E+04   0.818023E+01   0.117094E+03   0.175554E+07   0.112583E+04
   296   0.421966E+04   0.835287E+01   0.117623E+03   0.174880E+07   0.111593E+04
   297   0.418605E+04   0.852678E+01   0.118114E+03   0.174211E+07   0.110610E+04
   298   0.415233E+04   0.870194E+01   0.118569E+03   0.173546E+07   0.109632E+04
   299   0.411850E+04   0.887830E+01   0.118988E+03   0.172884E+07   0.108661E+04
   300   0.408458E+04   0.905577E+01   0.119370E+03   0.172226E+07   0.107696E+04
   301   0.405058E+04   0.923443E+01   0.119714E+03   0.171572E+07   0.106737E+04
   302   0.401651E+04   0.941406E+01   0.120022E+03   0.170922E+07   0.105784E+04
   303   0.398238E+04   0.959472E+01   0.120292E+03   0.170276E+07   0.104837E+04
   304   0.394821E+04   0.977636E+01   0.120525E+03   0.169633E+07   0.103896E+04
   305   0.391401E+04   0.995888E+01   0.120720E+03   0.168994E+07   0.102961E+04
   306   0.387978E+04   0.101423E+02   0.120878E+03   0.168359E+07   0.102031E+04
   307   0.384554E+04   0.103265E+02   0.120997E+03   0.167727E+07   0.101108E+04
   308   0.381130E+04   0.105114E+02   0.121079E+03   0.167099E+07   0.100191E+04
   309   0.377707E+04   0.106969E+02   0.121123E+03   0.166474E+07   0.992806E+03
   310   0.374285E+04   0.108830E+02   0.121129E+03   0.165853E+07   0.983758E+03
   311   0.370866E+04   0.110697E+02   0.121095E+03   0.165236E+07   0.974772E+03
   312   0.367451E+04   0.112568E+02   0.121024E+03   0.164622E+07   0.965847E+03
   313   0.364041E+04   0.114444E+02   0.120914E+03   0.164011E+07   0.956984E+03
   314   0.360636E+04   0.116323E+02   0.120765E+03   0.163404E+07   0.948183E+03
   315   0.357238E+04   0.118204E+02   0.120578E+03   0.162801E+07   0.939443E+03
   316   0.353848E+04   0.120088E+02   0.120352E+03   0.162200E+07   0.930766E+03
   317   0.350466E+04   0.121973E+02   0.120089E+03   0.161603E+07   0.922151E+03
   318   0.347096E+04   0.123858E+02   0.119786E+03   0.161010E+07   0.913599E+03
   319   0.343735E+04   0.125744E+02   0.119445E+03   0.160419E+07   0.905109E+03
   320   0.340386E+04   0.127629E+02   0.119067E+03   0.159832E+07   0.896683E+03
   321   0.337051E+04   0.129513E+02   0.118650E+03   0.159249E+07   0.888319E+03
